,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,,,,,10977,,,,,
LISBOAE,2388,10016,376,1131,1464,353,15803,2789,,404,1310,1733,398,17709
V. TEJO,,,,,,,,,,,,,,
Lisboa,1764,5444,211,479,997,144,9065,2028,5893,226,530,1148,151,10012
Santarém,200,2023,82,351,166,115,2979,259,2305,88,432,223,141,3501
Setúbal,424,2549,83,301,301,94,3759,502,2779,90,348,362,106,4196
