Distrito de Aveiro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN109,"54,960","55,050",6,14,0,1,5,25
EN16,"3,600","3,800",7,17,0,0,8,24
EN222,"21,600","21,800",5,11,0,2,3,29
IC2,"270,800","270,900",5,10,5,1,10,540
,,,23,52,5,4,26,
Distrito de Castelo Branco,,,,,,,,
,,,,,,,,
IC8,"146,000","146,100",7,14,0,0,9,27
,,,,,,,,
Distrito de Coimbra,,,,,,,,
EN230,"0,001","0,001",7,14,0,1,11,43
IP3,"69,170","69,300",7,12,1,0,9,127
,,,14,26,1,1,20,
Distrito de Leiria,,,,,,,,
,,,,,,,,
EN1,"153,900","154,050",5,13,0,0,8,24
EN109,"164,100","164,300",5,11,0,1,5,25
EN237,"0,010","0,016",11,17,0,0,13,39
EN8,"121,300","121,500",6,10,0,3,7,51
IC2,"121,700","121,900",6,12,0,3,7,51
,,,33,63,0,7,40,
Distrito de Viseu,,,,,,,,
,,,,,,,,
EN2,"163,500","163,600",5,8,0,2,7,41
EN229,"76,450","76,600",5,6,0,1,5,25
EN234,"76,800","77,000",5,11,0,0,7,21
,,,15,25,0,3,19,
