,,,,,,,"Total condutores
vítimas",,Total condutores,
,Vítimas mortais,,Feridos graves,,Feridos leves,,,,,
,,,,,,,,,intervenientes,
,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,
Carta adequada veic.,683,556,2134,1924,25978,24403,28795,26883,62427,58628
Carta não adeq. veic.,0,6,0,43,0,234,0,283,0,438
Em instrução/exame,0,0,1,1,14,16,15,17,23,27
Caducada/suspensa,0,3,0,12,0,74,0,89,0,118
Sem licença/carta,85,72,243,266,1093,1185,1421,1523,1708,1883
Não necessária veíc.,55,36,134,109,1181,1158,1370,1303,1441,1367
Não definido,13,4,93,26,364,75,470,105,1822,1207
Total,836,677,2605,2381,28630,27145,32071,30203,67421,63668
