,,"Acidentes com
vítimas",,"Acidentes com mortos
e/ou f. graves",,"Acidentes com
mortos",,"Indice
de gravidade",
,,2003,2004,2003,2004,2003,2004,2003,2004
"REGIÃO
CENTRO",,11740,11111,1247,1139,363,332,"3,5","3,3"
,Aveiro,3316,3172,293,283,80,65,"2,6","2,2"
,C. Branco,716,685,121,111,29,31,"4,3","4,5"
,Coimbra,2270,2281,184,189,79,67,"3,8","3,2"
,Guarda,618,613,123,95,38,34,"6,8","6,2"
,Leiria,3096,2747,330,301,86,89,"3,1","3,6"
,Viseu,1724,1613,196,160,51,46,"3,8","3,2"
