,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,142,121,150,139,134,170,168,151,143,160,132,166,1776
,Acid.c/ mortos e f.graves,26,22,26,23,22,34,26,29,30,26,31,26,321
REGIÃO,Acid.com mortos,4,5,4,5,3,4,4,5,8,9,5,2,58
ALENTEJO,Mortos,4,6,4,6,3,4,4,12,10,11,5,2,71
,F.Graves,25,25,29,19,24,35,25,29,30,26,34,28,329
,F.Leves,168,149,171,192,172,185,201,231,163,201,154,191,2178
,Acidentes com vítimas,51,39,51,50,46,47,57,62,47,50,46,47,593
,Acid.c/ mortos e f.graves,9,11,12,10,5,7,5,13,10,9,10,10,111
Beja,Acid.com mortos,3,2,3,3,1,2,1,2,3,5,2,1,28
,Mortos,3,2,3,3,1,2,1,2,5,6,2,1,31
,F.Graves,6,14,11,8,5,5,5,13,11,9,10,12,109
,F.Leves,59,42,55,71,74,51,71,120,60,65,53,52,773
,Acidentes com vítimas,59,46,60,59,57,78,65,58,57,66,52,76,733
,Acid.c/ mortos e f.graves,15,8,9,7,12,19,7,10,11,11,11,11,131
Évora,Acid.com mortos,1,3,1,2,2,1,0,2,2,2,1,1,18
,Mortos,1,4,1,3,2,1,0,3,2,2,1,1,21
,F.Graves,17,8,11,5,13,20,7,10,9,10,15,11,136
,F.Leves,60,59,74,87,68,78,88,77,70,83,58,83,885
,Acidentes com vítimas,32,36,39,30,31,45,46,31,39,44,34,43,450
,Acid.c/ mortos e f.graves,2,3,5,6,5,8,14,6,9,6,10,5,79
Portalegre,Acid.com mortos,0,0,0,0,0,1,3,1,3,2,2,0,12
,Mortos,0,0,0,0,0,1,3,7,3,3,2,0,19
,F.Graves,2,3,7,6,6,10,13,6,10,7,9,5,84
,F.Leves,49,48,42,34,30,56,42,34,33,53,43,56,520
