,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Com capacete/cinto segurança,658,516,2209,2078,25916,24753,28783,27347
Sem capacete/cinto segurança,63,63,112,83,429,289,604,435
Isentos,105,93,219,195,1825,1935,2149,2223
Não definidos,10,5,65,25,460,168,535,198
Total,836,677,2605,2381,28630,27145,32071,30203
,,,,,,,,
