,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,,,,,,,,,,
CENTRO,1209,8492,278,2109,917,465,13604,1422,9204,317,2321,1065,527,15016
,,,,,,,,,,,,,,
Aveiro,337,2148,63,834,262,175,3839,400,2287,69,902,305,193,4177
C. Branco,93,552,25,59,40,13,792,114,632,31,74,49,14,929
Coimbra,273,1663,74,429,218,102,2790,312,1774,81,471,243,110,3026
Guarda,54,543,18,59,50,11,752,62,618,25,73,61,13,875
Leiria,273,2178,51,443,229,115,3318,330,2363,60,483,276,140,3687
Viseu,179,1408,47,285,118,49,2113,204,1530,51,318,131,57,2322
