,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
00-03,79,64,206,187,1707,1429,1992,1680
03-06,66,43,152,139,1000,889,1218,1071
06-09,113,89,265,247,3210,2989,3588,3325
09-12,88,67,287,266,4064,3901,4439,4234
12-15,131,89,382,308,5037,4902,5550,5299
15-18,122,106,451,444,5371,5253,5944,5803
18-21,136,139,506,494,5318,5106,5960,5739
21-24,101,80,356,296,2923,2676,3380,3052
Total,836,677,2605,2381,28630,27145,32071,30203
,,,,,,,,
