,,,Feridos graves,,,,,
,Vítimas mortais,,,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Dia,164,139,652,615,10566,9985,11382,10739
Noite,110,100,499,385,5042,4368,5651,4853
Aurora ou crepúsculo(1),-,12,-,37,-,406,-,455
Total(2),274,254,1152,1043,15643,14825,17069,16122
,,,,,,,,
