,,Acidentes,,,,
,Acidentes,,Acidentes,,,
,,com mortos,,,Feridos,Feridos
,com,,com,Mortos,,
,,e/ou,,,graves,leves
,vítimas,,mortos,,,
,,f. graves,,,,
,,,,,,
,,,,,,
REGIÃO LISBOA E VALE TEJO,13051,1556,295,313,1593,15803
,,,,,,
Dentro Localidade,9407,1022,127,132,1064,10888
Fora Localidade,3644,534,168,181,529,4915
Lisboa,7605,790,118,126,821,9065
,,,,,,
Dentro Localidade,6033,611,68,72,648,6921
Fora Localidade,1572,179,50,54,173,2144
Santarém,2500,428,88,91,431,2979
,,,,,,
Dentro Localidade,1502,235,32,32,239,1693
Fora Localidade,998,193,56,59,192,1286
Setúbal,2946,338,89,96,341,3759
Dentro Localidade,1872,176,27,28,177,2274
Fora Localidade,1074,162,62,68,164,1485
