,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso álcool no sangue,61,
,Excesso de velocidade,25,
,Sub-total,86,
Infracções Graves,,,
,Excesso de velocidade,1696,
,Desrespeito pela obrigação de parar,280,
,Transposição traço contínuo,110,
,Sub-total,2086,
Infracções Leves,,,
,Paragem ou estacionamento proibido,25778,
,Transporte de carga e excesso de peso,3247,
,Falta apresentação documentos,1763,
,Cinto de segurança (não utilizado ou inexistente),1469,
,Sub-total,32257,
