,TIPO DE INFRACÇÃO,NÚMERO,
,Infracções Muito Graves,,
,Condução com excesso álcool no sangue,187,
,Paragem ou estacionamento em locais perigosos,54,
,Sub-total,241,
,Infracções Graves,,
,Excesso de velocidade,631,
,Condução com excesso álcool no sangue,154,
,Transposição traço contínuo,125,
,Desrespeito pela obrigação de parar,117,
,Sub-total,1027,
,Infracções Leves,,
,Paragem ou estacionamento proibido,7568,
,Excesso de velocidade,3094,
,Desrespeito da sinalização,1954,
,Cinto de segurança (não utilizado ou inexistente),981,
,Sub-total,13597,
