,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Motoc*,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,47,,,,534,,,,,
CENTRO,60,178,8,41,,17,366,153,,31,171,101,45,1046
,,,,,,,,,,,,,,
Aveiro,11,34,1,7,14,4,71,52,105,5,61,29,14,267
C. Branco,5,14,0,7,1,0,31,16,66,6,8,8,1,106
Coimbra,16,34,1,9,10,2,74,23,77,6,33,15,6,162
Guarda,3,17,4,3,5,1,38,5,58,3,11,6,1,85
Leiria,15,49,2,11,12,9,100,42,136,7,29,35,16,269
Viseu,10,30,0,4,5,1,52,15,92,4,29,8,7,157
