,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2003,2004,2003,2004,2003,2004
Vítimas mortais,84,78,162,126,246,204
,,,,,,
<=5,6,3,4,5,10,8
6-9,3,3,2,6,5,9
10-14,3,3,1,2,4,5
15-19,2,2,2,4,4,6
20-24,0,6,5,4,5,10
25-29,0,2,4,4,4,6
30-34,2,2,5,7,7,9
35-39,3,2,6,11,9,13
40-44,1,4,18,7,19,11
45-49,5,3,12,7,17,10
50-54,5,2,8,3,13,5
55-59,2,6,9,7,11,13
60-64,3,3,9,12,12,15
>=65,48,37,72,42,120,79
Não def.,1,0,5,5,6,5
Feridos Graves,402,328,497,438,902,766
,,,,,,
<=5,21,12,28,26,49,38
6-9,20,17,42,31,62,48
10-14,18,25,17,32,35,57
15-19,18,12,15,21,33,33
20-24,15,11,18,13,33,24
25-29,18,10,13,15,31,25
30-34,16,11,33,29,49,40
35-39,18,16,34,21,53,37
40-44,17,13,31,26,48,39
45-49,19,9,27,18,46,27
50-54,21,17,24,20,45,37
55-59,24,19,26,16,50,35
60-64,29,21,30,36,59,57
>=65,145,129,147,128,293,257
Não def.,3,6,12,6,16,12
