,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
Até 24 anos,333135,"56,2",259128,"43,8",
,,,,,592.263
,,,,,
25-44 anos,1384090,"56,6",1059221,"43,4",
,,,,,2.443.311
,,,,,
45-64 anos,1002920,"69,4",443139,"30,6",
,,,,,1.446.059
,,,,,
65-74 anos,315483,"81,9",69676,"18,1",
,,,,,385.159
,,,,,
> 74 anos,183585,"89,1",22519,"10,9",
,,,,,206.104
,,,,,
Total,3.219.213,"63,5",1.853.683,"36,5",
,,,,,5.072.896
