,,,"Vítimas
mortais",,,,,,,,,
,Acidentes c/,,,,Feridos,,Feridos,,Total de,,Índice de,
,,,,,,,,,,,,
,vítimas,,,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,2003,,,,,,,,,
,2003,2004,,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,,,
,,,,,,,,,,,,
Bom tempo,33026,31692,1084,948,3754,3487,39431,38409,44269,42844,"3,3","3,0"
,,,,,,,,,,,,
Chuva,7942,5944,242,141,827,571,10529,7879,11598,8591,"3,0","2,4"
,,,,,,,,,,,,
Outros (1),358,515,28,33,64,61,451,611,543,705,"7,8","6,4"
,,,,,,,,,,,,
Total(2),41495,38930,1356,1135,4659,4190,50599,47819,56614,53144,"3,3","2,9"
