,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Ligeiro*,,,,,Total,,,,,,,Total
,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,8671,,,,,,,,,,,,
NORTE,1805,,220,1344,1054,290,13440,2071,9269,238,1506,1244,314,14709
,,,,,,,,,,,,,,
Braga,467,2447,33,388,276,81,3708,558,2600,36,440,326,88,4066
Bragança,27,413,17,30,23,4,526,39,458,19,34,33,7,606
Porto,1095,4379,137,736,654,155,7170,1222,4667,149,821,759,164,7797
V.Castelo,115,768,13,131,64,33,1131,128,819,13,142,71,36,1218
V.Real,101,664,20,59,37,17,905,124,725,21,69,55,19,1022
