TIPO DE INFRACÇÃO,,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,12750,
,Excesso de velocidade,10808,
,Ultrapassagem proibida,1077,
,Infracção relativa à iluminação e utilização de luzes,681,
,Marcha-atrás em auto-estrada/acesso devid. sinalizado,423,
,Paragem ou estacionamento na faixa rodagem auto-estrada; acesso sinaliz.,268,
,Sub-total,26007,
Infracções Graves,,,
,,,
,Excesso velocidade,118779,
,Desrespeito obrigação de parar,29151,
,Transpor linha longitudinal contínua (M1) delimitadora sentidos trânsito,20571,
,Desrespeito sinais de proibição (sentido proibido e proibição de virar),11477,
,Condução com excesso álcool,11204,
,Sub-total,191182,
Infracções Leves,,,
,,,
,Paragem ou estacionamento proibido,495225,
,Não utilização do cinto de segurança pelo condutor ou passageiro,93298,
,Condução de veículos sem documentos legalmente exigidos,69387,
,Utilização de telemóvel durante a condução,52119,
,Não sujeição a inspecção periódica no prazo legal,44927,
,Sub-total,754956,
