,"Acidentes c/
vítimas",,,,,,,,,,,
,,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,,,,,,,,,,,,
,,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2003,,,,,,,,,,,
,,2004,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia,29319,27111,798,623,2864,2574,35623,33351,39285,36548,"2,7","2,3"
,,,,,,,,,,,,
Noite,12042,10605,554,456,1782,1458,14833,12979,17169,14893,"4,6","4,3"
,,,,,,,,,,,,
Aurora ou crep.(1),-,1029,-,52,-,141,-,1269,-,1462,-,"5,1"
,,,,,,,,,,,,
Total(2),41495,38930,1356,1135,4659,4190,50599,47819,56614,53144,"3,3","2,9"
