,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Peões,,,,,,Total,,,,,,,Total
,,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,62,,,,,,,,,,,,,
NORTE,,156,4,29,47,6,310,204,442,14,133,143,18,959
,,,,,,,,,,,,,,
Braga,25,38,1,7,11,2,85,66,115,2,45,39,5,273
Bragança,2,12,0,1,4,0,21,10,33,2,3,6,3,59
Porto,31,73,2,13,24,2,146,96,215,10,72,81,7,481
V.Castelo,2,16,0,7,4,2,32,11,35,0,4,3,1,55
V.Real,2,17,1,1,4,0,26,21,44,0,9,14,2,91
