,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Dentro das localidades,163,134,785,678,5919,5555,6867,6367
Arruamento,110,73,611,538,5058,4799,5779,5410
Estrada Nacional,38,48,120,96,585,521,743,665
Estrada Municipal,13,8,46,33,240,199,299,240
Itinerário Complementar,1,2,2,4,12,14,15,20
Outra Via(1),1,3,6,7,24,22,31,32
Fora das localidades,83,70,117,88,407,294,607,452
Auto-Estrada,10,6,5,5,24,24,39,35
Estrada Nacional,41,36,64,47,220,160,325,243
Estrada Municipal,11,16,30,23,120,84,161,123
Itinerário Complementar,21,11,13,12,30,23,64,46
Outra Via(1),0,1,5,1,13,3,18,5
Total,246,204,902,766,6326,5849,7474,6819
Auto-Estrada,10,6,5,5,24,24,39,35
Arruamento,110,73,611,538,5058,4799,5779,5410
Estrada Nacional,79,84,184,143,805,681,1068,908
Estrada Municipal,24,24,76,56,360,283,460,363
Itinerário Complementar,22,13,15,16,42,37,79,66
Outra Via(1),1,4,11,8,37,25,49,37
