,Vítimas,,Feridos graves,,,,,,M e FG por 100,
,,,,,Feridos leves,,Total de vítimas,,,
,mortais (M),,(FG),,,,,,vítimas em 2004,
,,,,,,,,,,
,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,M,FG
,,,,,,,,,,
,,,,,,,,,,
Peões,246,204,902,766,6326,5849,7474,6819,"3,0","11,2"
Veíc.ligeiros*,674,565,2291,2097,32300,30381,35265,33043,"1,7","6,3"
Veíc. Pesados*,31,27,80,70,992,974,1103,1071,"2,5","6,5"
Velocípedes*,55,41,133,124,1181,1262,1369,1427,"2,9","8,7"
Ciclomotores*,138,106,628,536,5483,5246,6249,5888,"1,8","9,1"
Motociclos*,187,159,585,556,4086,3826,4858,4541,"3,5","12,2"
Total(1),1356,1135,4659,4190,50599,47819,56614,53144,"2,1","7,9"
,,,,,,,,,,
