,,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,2003,2004,2003,2004,2003,2004,2003,2004
"REGIÃO
CENTRO",,409,366,1134,1046,14407,13604,15950,
,,,,,,,,,15016
,,,,,,,,,
,Aveiro,87,71,271,267,4050,3839,4408,4177
,C. Branco,31,31,125,106,845,792,1001,929
,Coimbra,87,74,133,162,2789,2790,3009,3026
,Guarda,42,38,107,85,715,752,864,875
,Leiria,96,100,306,269,3822,3318,4224,3687
,Viseu,66,52,192,157,2186,2113,2444,2322
