,,"Acidentes com
vítimas",,"Acidentes com
mortos e/ou f. graves",,"Acidentes com
mortos",,,"Índice
de
Gravidade",
,,2003,2004,2003,2004,2003,,2004,2003,2004
,"REGIÃO
NORTE",11627,10570,1094,1011,301,,269,"2,9","2,9"
,Braga,3051,2902,309,311,87,,73,"3,0","2,9"
,Bragança,482,411,96,65,21,,21,"5,0","5,1"
,Porto,6302,5680,504,476,126,,123,"2,2","2,6"
,V. Castelo,1053,860,100,68,38,,31,"4,3","3,7"
,V. Real,739,717,85,91,29,,21,"4,2","3,6"
