,,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,,
,,2003,2004,2003,2004,2003,2004,2003,2004
,"REGIÃO DE
LISBOA
E VALE TEJO",376,313,1756,1593,,15803,17771,17709
,,,,,,15639,,,
,,,,,,,,,
,Lisboa,168,126,910,821,9348,9065,10426,10012
,Santarém,116,91,547,431,2865,2979,3528,3501
,Setúbal,92,96,299,341,3426,3759,3817,4196
