,,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,2003,2004,2003,2004,2003,2004,2003,2004
"REGIÃO
ALENTEJO",,131,71,402,329,2443,2178,2976,2578
,Beja,56,31,138,109,931,773,1125,913
,Évora,46,21,147,136,931,885,1124,1042
,Portalegre,29,19,117,84,581,520,727,623
