,,Extensão,milhões veículos x km,
,,,2003,2004
A1,,"295,2",4499,4565
,A2,"234,2",1724,1731
A3,,"108,1",986,1006
A4,,"51,3",662,678
,A5,"23,7",1032,1044
A6,,"157,9",321,329
A7,,"20,8",114,"112,4"
,A8,"129,8","963,2","1004,9"
A9,,"34,4",357,350
A10,,"6,9",2,8
,A11*,"12,8","13,9","33,8"
A12,,"24,2",221,219
A13,,"29,5",21,23
,A14,"39,9",170,191
A15,,"40,2","70,6","72,8"
,,"1208,9","11156,7","11367,9"
