,,Gasolina,,,,Gasóleo,Gás Auto,Total
,,Super,S/ Chumbo,,Total,,,
,2000,467747,1508800,,1976547,3511772,20373,5 508 692
2001,,375079,1673611,,2048690,3819306,20200,5 888 196
,2002,284641,1739254,,2023895,3792450,19476,5 835 821
,2003,-,-,,2004498,3612486,19702,5 636 686
2004,,104925,1821823,,1926748,4324808,20134,6 271 690
