REGIÃO DO ALGARVE,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov D,ez Total
,,,,,,,,,,,,,
,Acidentes com vítimas,163,160,180,208,225,243,275,271,158,204,166 1,69 2422
,Acid.c/ mortos e f.graves,28,24,23,20,23,33,41,24,17,23,22,9 287
Faro,Acid.com mortos,6,4,6,4,8,8,9,4,5,8,4,4 70
,Mortos,6,5,7,4,10,8,9,4,6,8,4,4 75
,F.Graves,28,21,27,18,19,33,37,25,14,17,18,6 263
,F.Leves,165,176,204,257,263,270,326,340,186,223,178 2,06 2794
