,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004
Dia,507,384,1636,1458,20348,19062,22491,20904
,,,,,,,,
Noite,327,259,962,834,8209,7230,9498,8323
Aurora ou crepúsculo(1),-,33,-,79,-,745,-,857
,,,,,,,,
Total(2),836,677,2605,2381,28630,27145,32071,30203
