REGIÃO DO ALGARVE,"Acidentes
com vítimas",,"Acidentes com A
mortos e/ou
f. graves","cidentes
com
mortos",Mortos,"Feridos
graves",
,,,,,,,Feridos
,,,,,,,leves
Faro,2422,,287,70,75,263,2794
Dentro Localidade,1191,,115,14,14,113,1286
Fora Localidade,1231,,172,56,61,150,1508
