,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,8501,
,Excesso de velocidade,5953,
,Ultrapassagem proibida (pela direita / s/ verificar se outro veículo iniciou a ultrapassagem),2341,
,Infracção relativa à iluminação e utilização de luzes,767,
,Paragem ou estacionamento proibido,251,
,Marcha atrás em auto-estrada,319,
,Sub-total,18132,
Infracções Graves,,,
,Excesso de velocidade,69499,
,Desrespeito da obrigação de parar,23561,
,Transpor linha longitudinal contínua (Marca MI) delimitadora dos sentidos de trânsito,20866,
,Desrespeito dos sinais de proibição (sentido proibido e proibição de virar),9683,
,Condução com excesso de álcool no sangue,6249,
,Paragem/estacionamento em berma de auto-estrada,2316,
,Não respeito pelos peões nas passadeiras de peões,1866,
,Sub-total,137346,
Infracções Leves,,,
,Paragem ou estacionamento proibido,295499,
,Excesso de velocidade,31093,
,Não utilização do cinto de segurança pelo condutor ou pelo passageiro,51747,
,Condução de veículo sem documentos legalmente exigidos,42627,
,Não sujeição a inspecção periódica no prazo legal,33924,
,"Utilização, durante a marcha, de auscultadores sonoros",19916,
,Utilização de luzes de nevoeiro s/ que as condições meteorológicas o justifiquem,14637,
,Sub-total,489443,
