,,CONTRA-ORDENAÇÕES,,,,
,,M. Graves,Graves,Leves,,
,,,,,,Total
,,,,,,
Janeiro,,1453,14902,64348,,80703
,,,,,,
,Fevereiro,1005,10415,53296,,64716
Março,,1541,15600,71973,,89114
,,,,,,
Abril,,1269,13498,62422,,77189
,,,,,,
,Maio,1734,15662,70735,,88131
Junho,,1475,14005,63833,,79313
,,,,,,
Julho,,1736,15819,69823,,87378
,,,,,,
,Agosto,1848,16882,70936,,89666
Setembro,,1897,16016,71154,,89067
,,,,,,
Outubro,,1971,24354,85551,,111876
,,,,,,
,Novembro,1717,18229,76759,,96705
Dezembro,,1743,16052,71984,,89779
,,,,,,
Total,,19389,191434,832814,,
,,,,,,1043637
,,,,,,
