,Acidentes,Acidentes,Acidentes,,,
,com vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
REGIÃO CENTRO,11781,1499,390,436,1478,14361
,,,,,,
Dentro Localidade,8048,870,187,195,808,9422
,,,,,,
Fora Localidade,3733,629,203,241,670,4939
,,,,,,
Aveiro,3726,433,98,105,429,4480
,,,,,,
Dentro Localidade,2895,305,61,63,288,3400
,,,,,,
Fora Localidade,831,128,37,42,141,1080
,,,,,,
C. Branco,605,113,25,26,127,750
,,,,,,
Dentro Localidade,260,40,5,5,42,300
,,,,,,
Fora Localidade,345,73,20,21,85,450
,,,,,,
Coimbra,2441,223,88,96,193,2979
,,,,,,
Dentro Localidade,1693,121,46,50,97,1988
,,,,,,
Fora Localidade,748,102,42,46,96,991
,,,,,,
Guarda,628,99,38,40,98,781
,,,,,,
Dentro Localidade,292,34,7,7,34,347
,,,,,,
Fora Localidade,336,65,31,33,64,434
,,,,,,
Leiria,3274,466,91,101,456,3926
,,,,,,
Dentro Localidade,2289,291,47,49,278,2623
,,,,,,
Fora Localidade,985,175,44,52,178,1303
,,,,,,
Viseu,1107,165,50,68,175,1445
,,,,,,
Dentro Localidade,619,79,21,21,69,764
,,,,,,
Fora Localidade,488,86,29,47,106,681
,,,,,,
