,,,Grupos etários,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
Velocidade,,2000,70,1414,3845,3189,2430,2054,1768,1426,1091,780,631,851,20153
,Velocidade,,,,,,,,,,,,,,
Excessiva,,2001,57,1325,3524,3173,2348,1908,1581,1213,1017,677,582,798,18641
,Excessiva,,,,,,,,,,,,,,
,,01/00,-13,-89,-321,-16,-82,-146,-187,-213,-74,-103,-49,-53,-1512
,,,,,,,,,,,,,,,
Desrespeito de,,2000,96,822,1850,1427,1133,1029,817,732,631,484,433,715,10414
,Desrespeito de,,,,,,,,,,,,,,
cedência de,,2001,76,527,1298,1115,871,797,658,590,507,386,336,624,7910
,cedência de,,,,,,,,,,,,,,
passagem,,01/00,-20,-295,-552,-312,-262,-232,-159,-142,-124,-98,-97,-91,-2504
,passagem,,,,,,,,,,,,,,
Desrespeito stop,,2000,28,311,857,672,593,496,444,369,327,259,190,357,5037
,Desrespeito stop,,,,,,,,,,,,,,
ou sinal vermelho,,2001,28,207,577,552,432,431,296,282,237,192,168,298,3766
,ou sinal vermelho,,,,,,,,,,,,,,
,,01/00,0,-104,-280,-120,-161,-65,-148,-87,-90,-67,-22,-59,-1271
,,,,,,,,,,,,,,,
Ultrapassagem,,2000,13,333,715,544,398,332,338,252,200,159,127,230,3749
,Ultrapassagem,,,,,,,,,,,,,,
irregular,,2001,10,244,529,436,352,296,232,197,147,142,110,190,2958
,irregular,,,,,,,,,,,,,,
,,01/00,-3,-89,-186,-108,-46,-36,-106,-55,-53,-17,-17,-40,-791
,,,,,,,,,,,,,,,
Distracção ou,,2000,46,296,774,682,596,543,446,386,314,249,188,331,5010
,Distracção ou,,,,,,,,,,,,,,
Sonolência,,2001,42,273,823,713,623,552,498,410,334,260,218,402,5271
,Sonolência,,,,,,,,,,,,,,
,,01/00,-4,-23,49,31,27,9,52,24,20,11,30,71,261
,,,,,,,,,,,,,,,
Desvio brusco ou,,2000,28,232,648,563,410,367,298,285,215,150,147,181,3665
,Desvio brusco ou,,,,,,,,,,,,,,
saída fila trânsito,,2001,25,185,458,433,342,289,247,209,174,116,116,186,2863
,saída fila trânsito,,,,,,,,,,,,,,
,,01/00,-3,-47,-190,-130,-68,-78,-51,-76,-41,-34,-31,5,-802
,,,,,,,,,,,,,,,
,,2000,105,1077,2762,2336,1823,1647,1403,1104,982,726,515,840,16019
,,,,,,,,,,,,,,,
Não identificada,,2001,129,1447,3798,3605,2734,2350,2032,1636,1370,1014,804,1301,23183
,Não identificada,,,,,,,,,,,,,,
,,01/00,24,370,1036,1269,911,703,629,532,388,288,289,461,7164
,,,,,,,,,,,,,,,
,,2000,19,293,750,621,434,389,322,285,191,147,139,184,4003
,,,,,,,,,,,,,,,
Não definida,,2001,2,24,61,54,36,23,34,17,15,13,7,15,569
,Não definida,,,,,,,,,,,,,,
,,01/00,-17,-269,-689,-567,-398,-366,-288,-268,-176,-134,-132,-169,-3434
,,,,,,,,,,,,,,,
,,2000,42,391,973,793,648,592,481,458,357,223,212,355,5686
,,,,,,,,,,,,,,,
Outras,,2001,40,328,804,813,636,575,499,382,318,260,236,367,5363
,Outras,,,,,,,,,,,,,,
,,01/00,-2,-63,-169,20,-12,-17,18,-76,-39,37,24,12,-323
,,,,,,,,,,,,,,,
,,2000,447,5169,13174,10827,8465,7449,6317,5297,4308,3177,2582,4044,73736
Total,,2001,409,4560,11872,10894,8374,7221,6077,4936,4119,3060,2577,4181,70524
,Total,,,,,,,,,,,,,,
,,01/00,-38,-609,-1302,67,-91,-228,-240,-361,-189,-117,-5,137,-3212
