,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
Dentro das localidades,219,195,-24,1225,959,-266,5996,6128,132
,,,,,,,4913,,
Arruamento,116,113,-3,955,751,-204,,5135,222
,,,,,,,632,,
Estrada Nacional,79,65,-14,170,142,-28,,633,1
,,,,,,,374,,
Estrada Municipal,17,12,-5,80,47,-33,,290,-84
,,,,,,,7,,
Itinerário Complementar,3,2,-1,7,3,-4,,10,3
,,,,,,,70,,
Outra Via (1),4,3,-1,13,16,3,,60,-10
Fora das localidades,118,101,-17,140,139,-1,478,461,-17
,,,,,,,25,,
Auto-Estrada,15,9,-6,10,8,-2,,13,-12
,,,,,,,238,,
Estrada Nacional,69,59,-10,77,77,0,,260,22
,,,,,,,182,,
Estrada Municipal,13,14,1,29,32,3,,152,-30
,,,,,,,16,,
Itinerário Complementar,15,13,-2,12,12,0,,18,2
,,,,,,,17,,
Outra Via (1),6,6,0,12,10,-2,,18,1
