,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,
Surgindo inesperadamente faixa rodagem,132,131,-1,522,417,-105,1956,1906,-50
,,,,,,,,,
Desrespeito pela sinalização,12,18,6,52,39,-13,191,183,-8
,,,,,,,,,
Influenciado pelo álcool,1,1,0,14,17,3,87,100,13
,,,,,,,,,
Nenhuma,187,133,-54,750,575,-175,4076,3888,-188
,,,,,,,,,
Não definida,5,13,8,27,50,23,164,512,348
Total,337,296,-41,1365,1098,-267,6474,6589,115
