,TIPO DE INFRACÇÃO,NÚMERO,
Infracções Muito Graves,,,
,Excesso de velocidade,25,
,Sub-total,25,
Infracções Graves,,,
,Excesso de velocidade,1220,
,Desrespeito da obrigação de parar,825,
,Transpor linha longitudinal contínua (Marca MI) delimitadora dos sentidos de trânsito,164,
,Prioridade de paragem,155,
,Sub-total,2364,
Infracções Leves,,,
,Paragem ou estacionamento proibido,22737,
,Falta de apresentação de documentos,1037,
,Não utilização do cinto de segurança pelo condutor ou pelo passageiro,845,
,Excesso de velocidade,375,
,Sub-total,24994,
