Distrito de Vila Real,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
,,,,,,,,
IP4,"79,76","79,9",8,10,0,0,17,51
,,,,,,,,
IP4,"80,3","80,4",5,9,0,0,12,36
,,,,,,,,
IP4,84,"84,1",8,9,0,1,17,61
,,,,,,,,
,Total,,21,28,0,1,46,
