Distrito de Santarém,,,,,,,,
,,,,,,,,
EN10,93.400,93.500,10,20,2,7,24,342
EN113,24.000,24.100,5,8,0,3,4,42
EN114,74.300,74.500,7,12,0,0,8,24
EN114,92.835,93.000,5,6,0,0,9,27
EN118,15.900,16.000,5,8,0,1,6,28
EN118,40.100,40.280,5,10,0,0,8,24
EN3,20.930,20.970,5,8,0,0,11,33
EN3,44.200,44.350,5,9,0,1,5,25
,,,,,,,,
,,Total,47,81,2,12,75,
Distrito de Setúbal,,,,,,,,
,,,,,,,,
EN10,14.700,14.900,6,18,0,0,8,24
EN10,16.800,17.000,11,22,0,1,11,43
EN10,17.300,17.500,5,7,0,2,3,29
EN10,22.530,22.650,5,9,0,2,7,41
EN252,6.700,6.900,5,11,1,0,4,112
EN252,16.200,16.400,5,8,0,3,5,45
EN378,6.400,6.600,5,10,0,0,8,24
EN378,8.200,8.400,5,11,0,1,7,31
EN4,33.600,33.640,5,30,0,3,6,48
A2 (1),6.000,6.200,6,12,0,2,5,35
A2 (1),12.700,12.900,5,15,0,1,5,25
IC20,2.000,2.200,6,14,0,3,5,45
IC20,2.600,2.800,5,8,0,1,9,37
IC20,3.900,4.000,6,9,0,2,10,50
,,Total,80,184,1,21,93,
(1) Sentido crescente da quilometragem,,,,,,,,
,,,,,,,,
