,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,
Atravessamento na passadeira,39,16,-23,318,168,-150,1617,1242,-375
,,,,,,,,,
Atravessamento fora passadeira,106,101,-5,449,339,-110,1884,1693,-191
,,,,,,,,,
Em plena faixa rodagem,104,88,-16,323,281,-42,1409,1461,52
,,,,,,,,,
Outras,87,86,-1,259,277,18,1473,1829,356
,,,,,,,,,
Não definido,1,5,4,16,33,17,91,364,273
Total,337,296,-41,1365,1098,-267,6474,6589,115
