,,,,,,,,,,,,,Índice,
,Acidentes c/,,,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,,de,
,vítimas,,,,,,,,,,,,,
,,,,,,,,,,,,,Gravidade,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Jan,3373,3357,-16,117,110,-7,489,529,40,3889,3874,-15,"3,47","3,28"
,,,,,,,,,,,,,,
Fev,3395,3171,-224,134,115,-19,536,534,-2,3939,3741,-198,"3,95","3,63"
,,,,,,,,,,,,,,
Mar,3432,3199,-233,146,138,-8,534,509,-25,4063,3774,-289,"4,25","4,31"
,,,,,,,,,,,,,,
Abr,3134,3262,128,106,97,-9,541,482,-59,3918,3842,-76,"3,38","2,97"
,,,,,,,,,,,,,,
Mai,3591,3462,-129,123,92,-31,599,476,-123,4238,4147,-91,"3,43","2,66"
,,,,,,,,,,,,,,
Jun,3995,3763,-232,136,123,-13,619,539,-80,4828,4441,-387,"3,40","3,27"
,,,,,,,,,,,,,,
Jul,4430,4043,-387,181,137,-44,672,529,-143,5490,5005,-485,"4,09","3,39"
,,,,,,,,,,,,,,
Ago,4089,3915,-174,166,132,-34,698,517,-181,5257,5019,-238,"4,06","3,37"
,,,,,,,,,,,,,,
Set,3903,3565,-338,168,107,-61,601,425,-176,4657,4363,-294,"4,30","3,00"
,,,,,,,,,,,,,,
Out,3914,3497,-417,134,122,-12,565,391,-174,4581,4297,-284,"3,42","3,49"
,,,,,,,,,,,,,,
Nov,3461,3633,172,120,152,32,511,429,-82,4086,4300,214,"3,47","4,18"
,,,,,,,,,,,,,,
Dez,3442,3654,212,98,141,43,553,437,-116,4060,4444,384,"2,85","3,86"
,,,,,,,,,,,,,,
Total,44159,42521,-1638,1629,1466,-163,6918,5797,-1121,53006,51247,-1759,"3,69","3,45"
