REGIÃO DO ALGARVE,,"Acidentes
com vítimas","Acidentes com
mortos e/ou
f. graves",Acidentes,Mortos,"Feridos
graves","Feridos
leves"
,REGIÃO DO ALGARVE,,,com mortos,,,
,,,,,,,
Faro,Faro,3058,389,92,106,360,3536
,,,,,,,
Dentro Localidade,Dentro Localidade,1386,134,18,20,126,1495
,,,,,,,
Fora Localidade,Fora Localidade,1672,255,74,86,234,2041
,,,,,,,
