,,01/01/2001 a 30/09/2001,,01/10/2001 a 31/12/2001,
,,PSP,GNR,PSP,GNR
De 0.00 a 0.29 g/l,,86872,606438,29530,245518
De 0.30 a 0.49 g/l,,,,183,1428
De 0.50 a,,823,4252,216,1340
0.79 g/l,,,,,
De 0.80 a,,1111,4915,208,1308
1.19 g/l,,,,,
Igual ou,,,,,
maior,,2578,7097,540,1848
1.20 g/l,,,,,
,Total de,4512,16264,1147,5920
Infractores,,20776,,7067,
,,,,,
Total de,,91384,622702,30677,251438
Testes,,714086,,282115,
