,,Acidentes com vítimas,,,"Acidentes com mortos
e/ou feridos graves",,,Acidentes com mortos,,
,,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
"REGIÃO
DO
ALENTEJO",REGIÃO,2037,2041,4,470,,-12,125,111,
,DO,,,,,458,,,,-14
,ALENTEJO,,,,,,,,,
Beja,Beja,754,757,3,166,159,-7,58,43,-15
,,,,,,,,,,
Évora,Évora,819,764,-55,202,154,-48,47,29,-18
,,,,,,,,,,
Portalegre,Portalegre,464,520,56,102,145,43,20,39,19
,,,,,,,,,,
