,,,,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Colisão,25802,24149,-1653,741,634,-107,3584,2916,-668,33566,31553,-2013
,,,,,,,,,,,,
Dentro Localidade,18124,16960,-1164,249,255,6,2081,1689,-392,22689,21350,-1339
Fora Localidade,7678,7189,-489,492,379,-113,1503,1227,-276,10877,10203,-674
,,,,,,,,,,,,
Despiste,10801,11060,259,568,536,-32,1985,1754,-231,12767,13040,273
,,,,,,,,,,,,
Dentro Localidade,5061,5129,68,177,181,4,876,702,-174,5802,5840,38
,,,,,,,,,,,,
Fora Localidade,5740,5931,191,391,355,-36,1109,1052,-57,6965,7200,235
,,,,,,,,,,,,
Atropelamento,7556,7312,-244,320,296,-24,1349,1127,-222,6673,6654,-19
,,,,,,,,,,,,
Dentro Localidade,6857,6646,-211,208,196,-12,1206,974,-232,6121,6111,-10
Fora Localidade,699,666,-33,112,100,-12,143,153,10,552,543,-9
,,,,,,,,,,,,
Total,44159,42521,-1638,1629,1466,-163,6918,5797,-1121,53006,51247,-1759
,,,,,,,,,,,,
Dentro Localidade,30042,28735,-1307,634,632,-2,4163,3365,-798,34612,33301,-1311
,,,,,,,,,,,,
Fora Localidade,14117,13786,-331,995,834,-161,2755,2432,-323,18394,17946,-448
