Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN101,"86,5","86,6",5,8,0,4,3,49
EN101,"94,815","94,917",5,9,0,1,9,37
EN101,"107,3","107,45",7,14,1,0,9,127
EN103,25,"25,2",7,13,1,0,13,139
EN103,"32,71","32,9",5,11,0,1,7,31
EN103,"35,7","35,9",5,12,0,3,10,60
EN105,"39,8",40,5,10,0,2,5,35
EN13,"45,9","46,1",6,13,0,2,5,35
EN204,"18,9","19,1",5,7,1,0,5,115
EN206,30,"30,12",5,8,1,0,8,124
A3 (1),"38,63","38,825",6,7,0,1,7,31
A3 (1),"40,525","40,72",7,7,1,2,7,141
,,,,,,,,
,,Total,68,119,5,16,88,
(1) Sentido crescente da quilometragem,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
