,,Mortos,,,Feridos graves,,,Feridos leves,,,"Índice
de
Gravidade",
,,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001
"REGIÃO
NORTE",,377,384,7,993,1051,58,15531,15326,-205,"3,2","3,3"
Braga,,89,95,6,276,290,14,4128,3971,-157,"2,9","3,1"
Bragança,,40,37,-3,95,96,1,456,558,102,"10,1","8,0"
Porto,,172,182,10,433,492,59,8924,8611,-313,"2,5","2,7"
V. Castelo,,40,38,-2,100,69,-31,1243,1291,48,"4,2","3,9"
V. Real,,36,32,-4,89,104,15,780,895,115,"6,3","4,8"
