,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,
Veículos ligeiros,325,257,-68,1449,1272,-177,14640,13721,-919
,,,,,,,,,
Veículos pesados,9,28,19,39,66,27,576,546,-30
,,,,,,,,,
Velocípedes,1,0,-1,3,8,5,49,48,-1
,,,,,,,,,
Ciclomotores,16,16,0,123,79,-44,1127,896,-231
,,,,,,,,,
Motociclos,19,25,6,159,128,-31,758,732,-26
,,,,,,,,,
Total (1),376,332,-44,1776,1565,-211,17216,16008,-1208
