,,Madeira (a),Açores
"De 0.00 a
0.29 g/l",,__,5287
"De 0.30 a
0.49 g/l",,__,268
De 0.50 a,,__,49
,0.79 g/l,,
De 0.80 a,,__,69
,1.19 g/l,,
Igual ou maior,,__,222
,1.20 g/l,,
Total de Infractores,,__,608
Total de Testes,,__,5895
