,Vítimas mortais,,,,,,,,
,Condutores,,,Passageiros,,,Peões,,
,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00
,,,,,,,,,
Auto-Estrada,54,52,-2,43,37,-6,15,9,-6
EstradaNacional/IP/IC,517,460,-57,233,213,-20,169,144,-25
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,116,128,12,35,33,-2,82,67,-15
,,,,,,,,,
Fora Localidade,401,332,-69,198,180,-18,87,77,-10
Estrada Municipal,161,126,-35,30,33,3,30,26,-4
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,46,46,0,4,12,8,17,12,-5
,,,,,,,,,
Fora Localidade,115,80,-35,26,21,-5,13,14,1
Arruamentos,147,166,19,52,39,-13,116,113,-3
,,,,,,,,,
Outras (1),37,34,-3,18,10,-8,7,4,-3
,,,,,,,,,
,,,,,,,,,
Dentro Localidade,12,12,0,3,1,-2,4,3,-1
,,,,,,,,,
Fora Localidade,25,22,-3,15,9,-6,3,1,-2
Total da rede,916,838,-78,376,332,-44,337,296,-41
,,,,,,,,,
Dentro Localidade,321,352,31,94,85,-9,219,195,-24
Fora Localidade,595,486,-109,282,247,-35,118,101,-17
