,,Mortos,,,Feridos graves,,,Feridos leves,,,"Índice
de
Gravidade",
,,,,,,,,,,,,
,,2000,2001,01/00,2000,2001,01/00,2000,2001,01/00,2000,2001
,"REGIÃO
DO
ALENTEJO",138,122,-16,479,473,-6,2415,2404,-11,"6,8","6,0"
Beja,,62,49,-13,157,166,9,889,929,40,"8,2","6,5"
Évora,,52,29,-23,227,154,-73,1001,874,-127,"6,3","3,8"
Portalegre,,24,44,20,95,153,58,525,601,76,"5,2","8,5"
