,Homens,,Mulheres,,
,,,,,Total
,,,,,
,,%,,%,
,,,,,
Até 24 anos,368.056,"57,14",276.048,"42,86",
,,,,,644.104
,,,,,
25-44 anos,1.216.664,"58,12",876.717,"41,88",
,,,,,2.093.381
,,,,,
45-64 anos,876.208,"72,81",327.263,"27,19",
,,,,,1.203.471
,,,,,
65-74 anos,264.369,"83,93",50.623,"16,07",
,,,,,314.992
,,,,,
> 74 anos,121.759,"90,34",13.024,"9,66",
,,,,,134.783
,,,,,
Total,2.847.056,"64,84",1.543.675,"35,16",
,,,,,4.390.731
