,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65
População,1366254,525706,506122,518534,580398,692009,770555,721697,719257,681227,625659,2101996
VM/Milhão hab.,2,32,69,66,72,69,53,65,76,59,93,87
