,,FERIDOS GRAVES,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2016,47,21,17,16,6,14,18,20,18,37,26,162,0,402
,2017,28,23,17,10,10,12,22,22,28,30,27,163,1,393
,17-16,,,,,,,,,,,,,,
Veíc. Ligeiros *,2016,29,46,133,92,79,80,77,56,57,54,49,167,0,919
,2017,26,41,121,85,66,72,60,75,65,64,61,192,0,928
,17-16,,,,,,,,,,,,,0,
Veíc. Pesados *,2016,0,0,0,0,4,5,6,3,4,4,4,0,0,30
,2017,0,0,2,4,1,8,2,2,4,4,0,1,0,28
,17-16,0,0,,,,,,,,,,,0,
Velocípedes *,2016,12,11,5,8,4,6,11,9,11,13,2,14,0,106
,2017,7,18,4,5,8,12,15,11,8,10,7,21,0,126
,17-16,,,,,,,,,,,,,0,
Ciclomotores *,2016,3,13,11,8,8,8,10,12,23,17,15,36,0,164
,2017,1,15,12,9,5,12,22,18,21,20,11,38,0,184
,17-16,,,,,,,,,,,,,0,
Motociclos *,2016,3,26,22,45,33,39,34,34,25,18,8,16,0,303
,2017,2,34,37,50,53,51,54,34,31,12,14,16,0,388
,17-16,,,,,,,,,,,,,0,
Outros *,2016,3,2,5,10,4,3,4,2,4,4,4,30,0,75
,2017,3,1,7,3,5,3,4,9,3,8,4,20,0,70
,17-16,,,,,,,,,,,,,0,
TOTAL,2016,97,119,193,179,138,155,160,136,142,147,108,425,0,1999
,2017,67,132,200,166,148,170,179,171,160,148,124,451,1,2117
,17-16,,,,,,,,,,,,,,
