,"Feminino
2016","Feminino
2017","Masculino
2016","Masculino
2017","N.D.
2016","N.D.
2017","Total
2016","Total
2017",População,"Total cond./
1000 hab."
<=14,6,18,128,134,0,0,134,152,1366254,0
15-19,353,499,1385,1665,1,1,1739,2165,525706,4
20-24,1669,1730,3566,3792,0,1,5235,5523,506122,11
25-29,1695,1753,3342,3558,0,0,5037,5311,518534,10
30-34,1700,1732,3262,3367,1,0,4963,5099,580398,9
35-39,1857,1917,3670,3761,0,1,5527,5679,692009,8
40-44,1886,2058,3665,4138,0,0,5551,6196,770555,8
45-49,1574,1722,3209,3648,0,1,4783,5371,721697,7
50-54,1357,1417,3043,3187,1,0,4401,4604,719257,6
55-59,1008,1045,2699,2926,0,0,3707,3971,681227,6
60-64,676,790,2261,2444,0,1,2937,3235,625659,5
65-69,445,522,1933,2006,0,0,2378,2528,583966,4
70-74,334,326,1493,1653,0,1,1827,1980,492119,4
>=75,237,267,2342,2476,0,0,2579,2743,1025911,3
N.D.,7,6,53,48,1453,1570,1513,1624,0,0
TOTAL,14804,15802,36051,38803,1456,1576,52311,56181,0,0
