,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=14,19,17,19,14,0,0,38,31
15-19,21,19,19,19,0,0,40,38
20-24,17,10,30,31,0,0,47,41
25-29,19,18,19,26,0,0,38,44
30-34,14,8,17,16,0,0,31,24
35-39,15,5,10,16,0,0,25,21
40-44,15,8,8,7,0,0,23,15
45-49,9,15,4,15,0,0,13,30
50-54,8,12,3,11,0,0,11,23
55-59,13,12,8,13,0,0,21,25
60-64,6,13,7,4,0,0,13,17
65-69,16,16,5,6,0,0,21,22
70-74,12,18,4,4,0,0,16,22
>=75,22,29,17,9,0,0,39,38
TOTAL,206,200,170,191,0,0,376,391
