,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=14,5,15,105,122,0,0,110,137
15-19,244,354,973,1169,1,0,1218,1523
20-24,1005,1064,1733,1910,0,1,2738,2975
25-29,1006,1012,1591,1805,0,0,2597,2817
30-34,1000,953,1491,1574,0,0,2491,2527
35-39,926,953,1623,1616,0,0,2549,2569
40-44,983,1044,1521,1779,0,0,2504,2823
45-49,846,899,1259,1545,0,1,2105,2445
50-54,743,755,1299,1294,0,0,2042,2049
55-59,565,579,1036,1202,0,0,1601,1781
60-64,386,434,913,989,0,0,1299,1423
65-69,236,276,822,825,0,0,1058,1101
70-74,178,183,640,707,0,0,818,890
>=75,114,149,1223,1264,0,0,1337,1413
N.D.,0,2,5,3,1,4,6,9
TOTAL,8237,8672,16234,17804,2,6,24473,26482
