,<=4 anos,,5 a 9 anos,,10 a 14 anos,,15 a 19 anos,,>=20 anos,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
Veíc. Ligeiros,5110,6420,8159,7622,9325,9348,10852,10862,6872,8244,309,332,40627,42828
Veíc. Pesados,213,260,395,345,372,444,337,371,195,226,10,11,1522,1657
Ciclomotores,390,474,987,794,239,494,269,286,768,823,8,11,2661,2882
Motociclos,1622,1991,1155,1390,687,836,687,812,563,684,23,45,4737,5758
TOTAL,7335,9145,10696,10151,10623,11122,12145,12331,8398,9977,350,399,49547,53125
