,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=5,45,42,102,74,0,0,147,116
6-9,56,57,93,96,0,0,149,153
10-14,181,165,189,172,0,0,370,337
15-19,276,253,152,189,0,0,428,442
20-24,182,181,126,132,0,0,308,313
25-29,141,153,109,112,0,0,250,265
30-34,114,122,99,76,0,0,213,198
35-39,129,117,115,95,0,0,244,212
40-44,142,162,125,137,0,0,267,299
45-49,192,204,126,148,0,0,318,352
50-54,190,212,140,152,0,0,330,364
55-59,245,236,141,180,0,0,386,416
60-64,220,240,158,161,0,0,378,401
65-69,236,225,161,182,0,0,397,407
70-74,259,242,169,155,0,0,428,397
>=75,552,574,372,402,0,0,924,976
N.D.,0,1,0,2,0,0,0,3
TOTAL,3160,3186,2377,2465,0,0,5537,5651
