Via,"Km
Inicial","Km
Final","Nº de
Acidentes","Nº de
Veículos","Nº de
Mortos","Nº de
F.Graves","Nº de
F.Leves","Indicador de
Gravidade"
A1,"7,400","7,600",5,9,0,1,8,34
A2,"3,900","4,050",5,13,0,1,6,28
A2,"5,250","5,450",6,19,0,0,8,24
A2,"5,650","5,850",6,13,0,0,13,39
A2,"235,200","235,300",5,7,1,3,5,145
A20,"12,300","12,400",6,18,0,0,14,42
A20,"12,400","12,500",5,12,0,0,7,21
A20,"15,600","15,800",7,21,0,0,12,36
A28,"6,263","6,400",5,12,0,0,7,21
A3,"1,315","1,450",5,20,0,0,9,27
A3,"3,125","3,125",7,9,0,0,7,21
A3,"16,300","16,475",5,5,0,0,9,27
A4,"0,700","0,900",5,6,0,0,8,24
A43,"1,920","2,100",6,6,0,0,7,21
A5,"0,500","0,700",6,12,0,0,7,21
A5,"4,200","4,400",6,12,0,0,11,33
EN10,"128,800","128,900",6,12,0,0,7,21
EN10,"130,100","130,300",5,8,0,0,8,24
EN10,"133,900","134,100",6,14,0,0,9,27
EN101,"94,827","95,000",5,9,0,0,9,27
EN103,"28,450","28,600",5,6,0,1,5,25
EN103,"35,900","36,100",5,8,0,0,8,24
EN109,"58,000","58,200",7,18,0,0,10,30
EN12,"3,000","3,200",5,12,0,1,7,31
EN12,"4,300","4,300",7,14,0,0,12,36
EN12,"8,000","8,200",6,11,0,0,7,21
EN125,"51,200","51,400",5,8,0,1,6,28
EN125,"52,100","52,300",9,10,0,0,9,27
EN125,"54,100","54,200",5,10,0,0,7,21
EN125,"98,800","99,000",5,13,0,0,10,30
EN125,"100,300","100,500",8,15,0,0,10,30
EN203,"22,470","22,550",7,14,0,0,10,30
EN378,"8,700","8,900",5,11,0,0,7,21
EN6,"2,300","2,500",5,8,0,1,9,37
EN8,"88,000","88,200",7,8,0,2,6,38
IC17,"4,800","5,000",7,18,0,0,9,27
IC17,"5,100","5,300",14,39,0,0,25,75
IC19,"0,300","0,500",7,15,0,0,8,24
IC19,"2,300","2,500",8,22,0,0,8,24
IC19,"3,750","3,900",7,20,0,1,7,31
IC2,"38,100","38,300",5,9,0,2,6,38
IC2,"191,300","191,400",6,6,0,0,7,21
IC20,"1,500","1,700",5,13,0,0,9,27
IP7,"0,800","1,000",5,14,0,0,8,24
IP7,"5,900","6,100",14,40,0,0,20,60
,,,281,599,1,14,401,1443
