,,VÍTIMAS MORTAIS,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2016,2,2,2,2,0,2,6,5,9,10,10,73,0,123
,2017,1,2,5,3,5,3,7,8,4,10,11,71,0,130
,,,,,,,,,,,,,,,
Veíc. Ligeiros *,2016,3,9,29,22,18,13,12,19,19,21,22,81,0,268
,2017,2,7,23,18,17,21,17,14,27,18,24,72,0,260
,,,,,,,,,,,,,,,
Veíc. Pesados *,2016,0,0,0,0,0,0,0,0,0,1,5,1,0,7
,2017,0,0,0,0,1,0,0,1,2,2,0,0,0,6
,17-16,,,,,,,,,,,,,,
Velocípedes *,2016,2,0,0,3,0,1,1,4,2,2,3,14,1,33
,2017,0,1,0,0,2,2,2,2,4,0,5,7,0,25
,,,,,,,,,,,,,,,
Ciclomotores *,2016,0,0,2,0,3,3,4,4,2,6,2,18,0,44
,2017,0,4,0,1,0,0,2,4,9,4,4,15,0,43
,17-16,,,,,,,,,,,,,,
Motociclos *,2016,0,8,4,9,5,7,9,5,3,5,2,2,0,59
,2017,0,3,7,11,17,20,13,18,5,5,7,0,0,106
,17-16,,,,,,,,,,,,,,
Outros *,2016,0,0,1,1,1,1,0,1,1,1,4,17,0,28
,2017,0,0,0,1,0,2,0,0,4,1,7,17,0,32
,17-16,,,,,,,,,,,,,,
N.D.,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,17-16,,,,,,,,,,,,,,
TOTAL,2016,7,19,38,38,27,27,32,38,36,46,48,206,1,563
,2017,3,17,35,34,42,48,41,47,55,40,58,182,0,602
,,,,,,,,,,,,,,,
