,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=14,5,15,119,130,0,0,124,145
15-19,248,362,1038,1242,1,0,1287,1604
20-24,1031,1090,1863,2048,0,1,2894,3139
25-29,1029,1039,1722,1918,0,0,2751,2957
30-34,1015,970,1596,1704,0,0,2611,2674
35-39,942,973,1747,1770,0,0,2689,2743
40-44,1001,1067,1645,1930,0,0,2646,2997
45-49,868,921,1368,1676,0,1,2236,2598
50-54,765,776,1412,1428,0,0,2177,2204
55-59,577,595,1146,1306,0,0,1723,1901
60-64,398,448,999,1097,0,0,1397,1545
65-69,251,289,897,894,0,0,1148,1183
70-74,185,193,704,778,0,0,889,971
>=75,123,155,1340,1388,0,0,1463,1543
N.D.,0,2,6,3,1,4,7,9
TOTAL,8438,8895,17602,19312,2,6,26042,28213
