,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=5,40,37,97,72,0,0,137,109
6-9,50,56,87,91,0,0,137,147
10-14,169,157,174,164,0,0,343,321
15-19,267,243,138,174,0,0,405,417
20-24,175,175,114,116,0,0,289,291
25-29,135,145,97,107,0,0,232,252
30-34,111,120,96,63,0,0,207,183
35-39,121,111,107,86,0,0,228,197
40-44,134,151,109,119,0,0,243,270
45-49,186,194,107,128,0,0,293,322
50-54,180,195,123,137,0,0,303,332
55-59,226,226,113,150,0,0,339,376
60-64,203,222,139,141,0,0,342,363
65-69,220,208,137,159,0,0,357,367
70-74,226,216,140,130,0,0,366,346
>=75,476,494,315,339,0,0,791,833
N.D.,0,0,0,2,0,0,0,2
TOTAL,2919,2950,2093,2178,0,0,5012,5128
